,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
33,33,0.5559818130150611,2023-04-05 21:26:07.940479,2023-04-05 21:26:22.670777,0 days 00:00:14.730298,0.05942033560405631,181,47,7.461941902610504,9.160784559240238,COMPLETE
34,34,0.5365160556976414,2023-04-05 21:26:22.671093,2023-04-05 21:26:35.653365,0 days 00:00:12.982272,0.0781399411324619,193,39,7.694502539374775,8.728812208838368,COMPLETE
35,35,0.516624040920716,2023-04-05 21:26:35.653675,2023-04-05 21:26:39.262923,0 days 00:00:03.609248,0.2655863522746129,180,35,8.632616470207761,9.262766678955654,COMPLETE
36,36,0.45353793691389593,2023-04-05 21:26:39.263365,2023-04-05 21:26:45.355477,0 days 00:00:06.092112,0.1839567066801714,221,42,7.458910576955076,8.29589625171424,COMPLETE
37,37,0.4683148621767547,2023-04-05 21:26:45.355823,2023-04-05 21:27:01.413300,0 days 00:00:16.057477,0.0747458089093174,217,31,9.11706613645417,7.5323782290274375,COMPLETE
38,38,0.49282466609832337,2023-04-05 21:27:01.413604,2023-04-05 21:27:10.657582,0 days 00:00:09.243978,0.12441597093058648,206,25,8.010065097202506,8.832664070186894,COMPLETE
39,39,0.3509519749928957,2023-04-05 21:27:10.657906,2023-04-05 21:27:15.221972,0 days 00:00:04.564066,0.28296983709346774,259,47,6.730242406830893,9.441567061795036,COMPLETE
40,40,0.4632708155726058,2023-04-05 21:27:15.222272,2023-04-05 21:27:20.004945,0 days 00:00:04.782673,0.21658075344040548,196,37,8.624988689391316,6.357755999602393,COMPLETE
41,41,0.551150895140665,2023-04-05 21:27:20.005252,2023-04-05 21:27:36.484835,0 days 00:00:16.479583,0.05539045550872332,187,48,6.412009485389862,9.508725897999888,COMPLETE
42,42,0.546106848536516,2023-04-05 21:27:36.485140,2023-04-05 21:27:51.391781,0 days 00:00:14.906641,0.06039445975323508,186,48,6.611496308246379,8.456182102105533,COMPLETE
43,43,0.5218101733447001,2023-04-05 21:27:51.392223,2023-04-05 21:29:56.818446,0 days 00:02:05.426223,0.010671120445044972,190,44,7.775356333930928,9.489448854811334,COMPLETE
44,44,0.5218101733447001,2023-04-05 21:29:56.818788,2023-04-05 21:30:04.593737,0 days 00:00:07.774949,0.12655667833828904,187,33,7.368039926221893,8.902082080017449,COMPLETE
45,45,0.4585819835180449,2023-04-05 21:30:04.594194,2023-04-05 21:30:27.138883,0 days 00:00:22.544689,0.052399202488193325,204,20,5.792572877879665,8.109451396570304,COMPLETE
46,46,0.5169082125603864,2023-04-05 21:30:27.139182,2023-04-05 21:30:36.415211,0 days 00:00:09.276029,0.10457802733254792,198,48,7.122681452908195,9.50871886512197,COMPLETE
47,47,0.5118641659562375,2023-04-05 21:30:36.415521,2023-04-05 21:30:42.143454,0 days 00:00:05.727933,0.15738625302558557,187,45,6.603723447449396,8.7260923438231,COMPLETE
48,48,0.39009661835748793,2023-04-05 21:30:42.143758,2023-04-05 21:30:44.811016,0 days 00:00:02.667258,0.38620734149021774,180,28,7.790006459851612,7.7804047301548325,COMPLETE
49,49,0.42924126172208016,2023-04-05 21:30:44.811333,2023-04-05 21:31:16.694045,0 days 00:00:31.882712,0.0453008544350618,235,14,6.956291779793005,8.372782659781894,COMPLETE
50,50,0.4975134981528843,2023-04-05 21:31:16.694371,2023-04-05 21:31:21.160805,0 days 00:00:04.466434,0.2226867036913564,191,42,8.224822109207697,9.53011473461556,COMPLETE
51,51,0.5510798522307474,2023-04-05 21:31:21.161147,2023-04-05 21:31:41.158906,0 days 00:00:19.997759,0.04552019880157666,185,45,6.437478211838842,9.67714147675393,COMPLETE
52,52,0.5560528559249787,2023-04-05 21:31:41.159212,2023-04-05 21:31:58.331625,0 days 00:00:17.172413,0.052021399476419504,184,48,7.539486677851775,9.034056032971616,COMPLETE
53,53,0.5557686842853083,2023-04-05 21:31:58.331933,2023-04-05 21:32:06.720050,0 days 00:00:08.388117,0.1052479656075572,185,45,6.394452901311873,9.161839627024882,COMPLETE
54,54,0.4973714123330491,2023-04-05 21:32:06.720367,2023-04-05 21:32:15.294143,0 days 00:00:08.573776,0.10895398664144496,198,49,5.764797256003653,9.027824167531614,COMPLETE
55,55,0.5022023302074453,2023-04-05 21:32:15.294455,2023-04-05 21:32:21.735640,0 days 00:00:06.441185,0.1443029565930486,184,40,6.3914330881477515,9.623090953271893,COMPLETE
56,56,0.5267831770389315,2023-04-05 21:32:21.735947,2023-04-05 21:32:31.112778,0 days 00:00:09.376831,0.10085645432901727,191,46,7.030065454058015,9.096502925710402,COMPLETE
57,57,0.49261153736857066,2023-04-05 21:32:31.113085,2023-04-05 21:34:25.088896,0 days 00:01:53.975811,0.012080288537956431,203,44,6.517515117232146,8.581562887702807,COMPLETE
58,58,0.555981813015061,2023-04-05 21:34:25.089345,2023-04-05 21:34:38.514895,0 days 00:00:13.425550,0.06652539906146551,184,48,6.972410878589319,9.0920357802158,COMPLETE
59,59,0.5215970446149474,2023-04-05 21:34:38.515349,2023-04-05 21:34:43.665579,0 days 00:00:05.150230,0.1930835297489844,195,43,7.541574402025146,9.173542308392797,COMPLETE
60,60,0.3365302642796249,2023-04-05 21:34:43.666036,2023-04-05 21:34:55.507337,0 days 00:00:11.841301,0.13313341155155092,297,39,7.084429318354407,8.232945916341587,COMPLETE
61,61,0.5656436487638534,2023-04-05 21:34:55.507649,2023-04-05 21:35:09.252754,0 days 00:00:13.745105,0.06321839555813721,183,49,6.865419472708209,9.735685931500914,COMPLETE
62,62,0.5607416879795396,2023-04-05 21:35:09.253072,2023-04-05 21:35:20.902197,0 days 00:00:11.649125,0.07461177711629388,183,49,6.879432043450767,9.964115791579294,COMPLETE
63,63,0.5705456095481671,2023-04-05 21:35:20.902517,2023-04-05 21:35:31.160684,0 days 00:00:10.258167,0.0848340255138892,180,49,6.9612853488144175,9.731620774931312,COMPLETE
64,64,0.4923273657289002,2023-04-05 21:35:31.161020,2023-04-05 21:35:37.048319,0 days 00:00:05.887299,0.14759809989293954,181,50,7.3875555190756295,9.78091034939343,COMPLETE
65,65,0.5363029269678886,2023-04-05 21:35:37.048629,2023-04-05 21:37:24.141759,0 days 00:01:47.093130,0.010740726811750104,180,49,6.77086275965132,9.883142670901485,COMPLETE
66,66,0.526712134129014,2023-04-05 21:37:24.142102,2023-04-05 21:37:45.129503,0 days 00:00:20.987401,0.04442779513960253,189,46,5.986306840375572,9.749244540773782,COMPLETE
67,67,0.5218101733447001,2023-04-05 21:37:45.129941,2023-04-05 21:37:58.089274,0 days 00:00:12.959333,0.07266420260205586,194,49,7.894734110782943,9.989452335340797,COMPLETE
68,68,0.482665529980108,2023-04-05 21:37:58.089590,2023-04-05 21:38:04.146349,0 days 00:00:06.056759,0.16046059482462116,200,47,7.277845975371445,8.789493122344338,COMPLETE
69,69,0.5316140949133276,2023-04-05 21:38:04.146686,2023-04-05 21:38:13.012708,0 days 00:00:08.866022,0.10432621974730544,191,50,8.18243081278016,9.331477829107413,COMPLETE
70,70,0.29262574595055413,2023-04-05 21:38:13.013013,2023-04-05 21:38:20.076021,0 days 00:00:07.063008,0.20076614912112425,279,47,7.602028215380297,8.497345874310565,COMPLETE
