,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
10,10,0.6097612958226769,2023-04-07 18:28:56.615029,2023-04-07 18:29:04.529605,0 days 00:00:07.914576,0.2423673788577975,0.009656569387298752,0.15934651372128544,0.5120698080683717,252,40,98,0.33372533027574214,5.032720274792981,0.6201281658856919,COMPLETE
11,11,0.5853935777209435,2023-04-07 18:29:04.529949,2023-04-07 18:29:16.251533,0 days 00:00:11.721584,0.25010288310416506,0.009436275057771781,0.10980909675199109,0.5505471530213093,255,41,107,0.2318561844741046,4.942526530000372,0.8090330857810365,COMPLETE
12,12,0.3218243819266837,2023-04-07 18:29:16.251872,2023-04-07 18:29:28.173836,0 days 00:00:11.921964,0.2945658070741526,0.03806801817321985,0.10499996278451851,0.6347983501158718,250,42,65,0.33369948811473854,4.522323957378034,0.5219649918077556,COMPLETE
13,13,0.5754475703324808,2023-04-07 18:29:28.174192,2023-04-07 18:29:40.212347,0 days 00:00:12.038155,0.31698625553278237,0.002606278281614285,0.1063834273054517,0.40788655504918503,254,41,102,0.28841868017364797,4.435680344036497,9.342762656185014,COMPLETE
14,14,0.0,2023-04-07 18:29:40.212688,2023-04-07 18:29:43.514667,0 days 00:00:03.301979,0.002158112518489408,0.24938174685856535,0.39441349968717976,0.6674646818183024,260,39,19,1.3074957945964218,3.5810519016527063,2.9822212139704165,COMPLETE
15,15,0.4536089798238136,2023-04-07 18:29:43.515032,2023-04-07 18:29:49.526323,0 days 00:00:06.011291,0.23833742659632795,0.1463869901246433,0.22321210941632924,0.5360521601504467,240,10,88,0.16295045984912532,5.353243380788875,1.0171515246881047,COMPLETE
16,16,0.21923842000568342,2023-04-07 18:29:49.526727,2023-04-07 18:29:51.131162,0 days 00:00:01.604435,0.20682489111882116,0.0009824676409037857,0.9946161566095634,0.7674870416892549,262,45,164,1.5703898710009203,0.871298007281534,3.2430443922919387,COMPLETE
17,17,0.029269678886047173,2023-04-07 18:29:51.131512,2023-04-07 18:29:57.985618,0 days 00:00:06.854106,0.387856173120691,0.312986864366824,0.18706632485633098,0.7695158678463669,249,37,13,1.3348754307762598,5.7521669097174195,0.68141030182231,COMPLETE
18,18,0.29248366013071897,2023-04-07 18:29:57.985982,2023-04-07 18:30:01.347206,0 days 00:00:03.361224,0.6147034583984375,0.10608955552146311,0.36256619791636047,0.9706824582409198,240,30,61,4.197940429156063,3.086982553591326,1.7819625948444229,COMPLETE
19,19,0.6145211707871554,2023-04-07 18:30:01.347561,2023-04-07 18:30:14.114086,0 days 00:00:12.766525,0.2688682902101313,0.21047490891314216,0.10153964572451579,0.37684867155265483,263,44,101,1.402085662716809,3.920505599937136,3.3391058509559572,COMPLETE
20,20,0.4729326513213981,2023-04-07 18:30:14.114435,2023-04-07 18:30:17.165156,0 days 00:00:03.050721,0.3777023883149164,0.2133457656378101,0.432367157395506,0.33801937382047337,264,45,143,2.0727244360248047,3.5384723280177655,4.041637960989838,COMPLETE
21,21,0.6145922136970731,2023-04-07 18:30:17.165510,2023-04-07 18:30:29.244454,0 days 00:00:12.078944,0.2570685902479736,0.09657450983720564,0.10551923049949502,0.4946529412786751,255,45,104,0.8275842282626525,4.483303210222282,2.2883313190033325,COMPLETE
22,22,0.5218812162546178,2023-04-07 18:30:29.244806,2023-04-07 18:30:35.497557,0 days 00:00:06.252751,0.2711441585184637,0.11826262238660878,0.19849269354017546,0.43332714080752804,267,50,81,1.0863929056888222,4.095338628675854,2.578798942649437,COMPLETE
23,23,0.14130434782608695,2023-04-07 18:30:35.497925,2023-04-07 18:30:39.574096,0 days 00:00:04.076171,0.11003198601226341,0.316564821102272,0.2956403127862675,0.3141821141946312,248,45,44,1.0612208118801079,5.926175482195144,1.6896258612123336,COMPLETE
24,24,0.5510798522307474,2023-04-07 18:30:39.574460,2023-04-07 18:30:47.332692,0 days 00:00:07.758232,0.088888940665969,0.0986818184110566,0.1623659075122515,0.46767313751768336,257,37,118,2.4640653447332,3.8826654547034716,3.3844160179146074,COMPLETE
25,25,0.4828786587098608,2023-04-07 18:30:47.333063,2023-04-07 18:30:51.820372,0 days 00:00:04.487309,0.20970790609936507,0.17186649541759036,0.25112176461200897,0.5442429240786123,246,45,82,0.8434173408398775,3.114296702579198,2.4012355592591925,COMPLETE
26,26,0.25859619210002843,2023-04-07 18:30:51.820725,2023-04-07 18:31:00.856039,0 days 00:00:09.035314,0.3043040299530722,0.0704094427951428,0.15452200536569832,0.29147074059106426,266,30,189,1.8960627958799086,5.172761018302243,1.4606773814375762,COMPLETE
27,27,0.48778061949417445,2023-04-07 18:31:00.856394,2023-04-07 18:31:06.010260,0 days 00:00:05.153866,0.40183121630191115,0.21798328587511762,0.23733211824844203,0.4426920027963279,258,43,135,0.7945476440355109,4.450011051708486,2.438335998389934,COMPLETE
28,28,0.1708581983518045,2023-04-07 18:31:06.010619,2023-04-07 18:31:18.378068,0 days 00:00:12.367449,0.20960071046626472,0.048934520760890866,0.10032144003351381,0.5009798108891931,253,38,36,1.9081585207329006,3.026872348032131,1.5237307264651998,COMPLETE
29,29,0.40977550440466043,2023-04-07 18:31:18.378426,2023-04-07 18:31:22.519277,0 days 00:00:04.140851,0.47113524146121233,0.18077774876415764,0.282608510458418,0.376385441101043,243,48,153,3.457026912330358,5.558248078359683,3.7133759681132217,COMPLETE
30,30,0.6192100028417163,2023-04-07 18:31:22.519631,2023-04-07 18:31:26.758796,0 days 00:00:04.239165,0.07766958858790379,0.1597347967025932,0.30750117673567223,0.5838065362613095,267,47,92,1.5668046210948603,6.268813242566024,2.8627083011680106,COMPLETE
