,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
48,48,0.21440750213128731,2023-04-06 19:29:17.668791,2023-04-06 19:29:23.787431,0 days 00:00:06.118640,0.17943001508422235,195,10,6.39295370918543,25,4.598988662961636,2.927598670050374,COMPLETE
49,49,0.4924694515487355,2023-04-06 19:29:23.787895,2023-04-06 19:29:51.113753,0 days 00:00:27.325858,0.04684868312884413,215,14,5.525233075774857,105,6.033613834573816,3.771475495355232,COMPLETE
50,50,0.2244955953395851,2023-04-06 19:29:51.114087,2023-04-06 19:30:06.762577,0 days 00:00:15.648490,0.07641734854852822,237,37,4.723342907817769,295,3.567841625361658,3.2034330239362294,COMPLETE
51,51,0.5996021597044615,2023-04-06 19:30:06.762916,2023-04-06 19:30:16.526498,0 days 00:00:09.763582,0.10270313424957794,185,20,5.130666153104866,80,4.3658263925352205,4.853415311085224,COMPLETE
52,52,0.0,2023-04-06 19:30:16.526866,2023-04-06 19:30:22.706427,0 days 00:00:06.179561,0.16113528811566977,186,19,4.427256548700125,11,4.666309790393302,4.6327948780843515,COMPLETE
53,53,0.5996732026143791,2023-04-06 19:30:22.706816,2023-04-06 19:30:42.900270,0 days 00:00:20.193454,0.051471320207022164,180,16,5.146435587246655,85,4.2865310672241606,5.402321097991303,COMPLETE
54,54,0.5850383631713555,2023-04-06 19:30:42.900600,2023-04-06 19:30:59.206366,0 days 00:00:16.305766,0.0633694338029603,181,16,5.910181292420768,79,4.348448557397075,5.587802742713064,COMPLETE
55,55,0.5753765274225632,2023-04-06 19:30:59.206765,2023-04-06 19:31:23.820880,0 days 00:00:24.614115,0.04315086560063176,181,15,5.937140274638102,81,5.0369664912842715,5.310522923517773,COMPLETE
56,56,0.5753054845126456,2023-04-06 19:31:23.821207,2023-04-06 19:33:04.583374,0 days 00:01:40.762167,0.013531119329830275,180,15,6.0530590723727915,80,4.941720119056696,5.443746526562042,COMPLETE
57,57,0.5753765274225632,2023-04-06 19:33:04.583722,2023-04-06 19:34:20.448157,0 days 00:01:15.864435,0.018801646242799563,181,12,6.025675733332199,80,5.026529730039845,5.406572401783125,COMPLETE
58,58,0.48770957658425695,2023-04-06 19:34:20.448621,2023-04-06 19:36:12.043492,0 days 00:01:51.594871,0.012690085766319425,180,10,6.236449176109852,50,5.402959007309973,5.396702252759586,COMPLETE
59,59,0.5120062517760727,2023-04-06 19:36:12.043953,2023-04-06 19:38:30.226589,0 days 00:02:18.182636,0.010177016583462983,180,15,6.584757996260163,62,4.992246953633292,6.385269193642518,COMPLETE
60,60,0.38057686842853083,2023-04-06 19:38:30.227086,2023-04-06 19:38:53.747490,0 days 00:00:23.520404,0.04615950308461422,184,11,5.713986571751574,31,4.401199642410569,5.578918388505362,COMPLETE
61,61,0.5558397271952259,2023-04-06 19:38:53.748247,2023-04-06 19:39:27.544513,0 days 00:00:33.796266,0.03318711521432309,187,13,5.969182891181094,81,4.880895322483156,4.425210642464911,COMPLETE
62,62,0.5510088093208297,2023-04-06 19:39:27.545018,2023-04-06 19:39:45.996787,0 days 00:00:18.451769,0.060750244126267505,188,12,6.825806448435277,79,5.792352950790436,5.267346945697173,COMPLETE
63,63,0.5705456095481671,2023-04-06 19:39:45.997133,2023-04-06 19:40:04.241983,0 days 00:00:18.244850,0.05817928805185694,180,14,5.9248661568902135,62,5.243105649213923,5.949924959457492,COMPLETE
64,64,0.43890309747087236,2023-04-06 19:40:04.242344,2023-04-06 19:40:16.557797,0 days 00:00:12.315453,0.08608289707765843,184,15,5.420022440600293,42,5.263930040483452,5.995695717309772,COMPLETE
65,65,0.5512219380505825,2023-04-06 19:40:16.558359,2023-04-06 19:40:43.710388,0 days 00:00:27.152029,0.03906179921801206,183,16,6.033633511918088,58,4.45487951733457,5.92419317978399,COMPLETE
66,66,0.0,2023-04-06 19:40:43.710775,2023-04-06 19:40:54.000795,0 days 00:00:10.290020,0.10838658593958767,193,14,5.221556952330711,13,6.122335165071253,5.504938899939329,COMPLETE
67,67,0.5409917590224496,2023-04-06 19:40:54.001134,2023-04-06 19:41:00.368007,0 days 00:00:06.366873,0.15125806464286218,180,16,5.620027102607078,64,4.239054732122472,4.90204953224521,COMPLETE
