,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
12,12,0.521668087524865,2023-04-07 17:57:43.588254,2023-04-07 17:57:45.750506,0 days 00:00:02.162252,0.7733999525891277,0.3945945881431399,0.6959172993786973,0.9864866038705145,103,709.8550914146672,270,40,2.9986398502760387,1.9786199680638064,COMPLETE
13,13,0.6241830065359477,2023-04-07 17:57:45.750865,2023-04-07 17:57:48.930769,0 days 00:00:03.179904,0.11578640718470645,0.9936192332349868,0.443161234043419,0.5059794340154047,91,238.08424675503989,240,18,9.709291562168463,2.4343256333276964,COMPLETE
14,14,0.551150895140665,2023-04-07 17:57:48.931146,2023-04-07 17:57:52.062602,0 days 00:00:03.131456,0.1765123506889187,0.9864131156758141,0.41855196244719395,0.45987452870107415,88,193.34210627913706,240,39,9.99448138334118,2.8070506760216234,COMPLETE
15,15,0.3511651037226485,2023-04-07 17:57:52.062963,2023-04-07 17:57:56.606657,0 days 00:00:04.543694,0.017658953561172655,0.840751355218263,0.2960130609402363,0.5226952348696658,52,128.81512102923256,240,26,8.7421415717617,1.8833086697004222,COMPLETE
16,16,0.5656436487638533,2023-04-07 17:57:56.607018,2023-04-07 17:57:59.821256,0 days 00:00:03.214238,0.2106288860730994,0.846444705436264,0.4461361295300779,0.40463478124344326,86,261.12496750749415,252,16,6.928598586047758,2.5473701016501824,COMPLETE
17,17,0.3854788292128446,2023-04-07 17:57:59.821619,2023-04-07 17:58:08.806832,0 days 00:00:08.985213,0.0012333905133091738,0.6128116634702311,0.14928676446615619,0.6140829456686615,112,21.395302256704326,261,50,8.806812786355701,1.795366016665509,COMPLETE
18,18,0.5899403239556692,2023-04-07 17:58:08.807224,2023-04-07 17:58:14.141959,0 days 00:00:05.334735,0.2318238656627531,0.8814546333117583,0.25810103941575785,0.35341800294827885,83,337.95368683555836,247,23,7.578246220821228,3.140463745420536,COMPLETE
19,19,0.02443876101165104,2023-04-07 17:58:14.142318,2023-04-07 17:58:18.089274,0 days 00:00:03.946956,0.49542272990396674,0.9910402721580606,0.37587278337993907,0.565907750908207,239,159.33132554699512,256,14,8.773449619333674,4.797728669155439,COMPLETE
20,20,0.5655726058539358,2023-04-07 17:58:18.089635,2023-04-07 17:58:20.256438,0 days 00:00:02.166803,0.17175351582321086,0.75308948807917,0.7189429331603642,0.38450708759905877,125,336.8990257618504,265,29,9.967568817098284,1.5140977063000727,COMPLETE
21,21,0.609548167092924,2023-04-07 17:58:20.256800,2023-04-07 17:58:25.526581,0 days 00:00:05.269781,0.12246625645546962,0.8774814017793742,0.26456240009137255,0.3422787092483091,84,340.28949758362467,249,22,7.679382024892732,2.8692567651409915,COMPLETE
22,22,0.5900824097755044,2023-04-07 17:58:25.526940,2023-04-07 17:58:28.563856,0 days 00:00:03.036916,0.08470842826736193,0.8863186545587819,0.4638166290989496,0.5066918852612803,92,143.77712458817655,245,22,9.142387227579581,2.567964198296022,COMPLETE
23,23,0.49744245524296676,2023-04-07 17:58:28.564213,2023-04-07 17:58:35.412118,0 days 00:00:06.847905,0.1265385711158431,0.9120185294895544,0.21296952334858552,0.42598593208002844,70,271.8563141069668,249,14,7.851353751626281,3.787817324873653,COMPLETE
24,24,0.6387468030690536,2023-04-07 17:58:35.412488,2023-04-07 17:58:48.151668,0 days 00:00:12.739180,0.26059764173605277,0.7963671765964524,0.10520875056332293,0.3078732280810007,123,187.56777876267597,240,33,9.327992771686583,2.439967244193907,COMPLETE
25,25,0.643719806763285,2023-04-07 17:58:48.152041,2023-04-07 17:59:01.276809,0 days 00:00:13.124768,0.268761197256402,0.7742497398221292,0.10162440112837648,0.27454375730155106,119,93.55891057084546,240,34,9.058975432504212,1.3974614948850008,COMPLETE
26,26,0.34647627166808753,2023-04-07 17:59:01.277173,2023-04-07 17:59:12.734274,0 days 00:00:11.457101,0.28137833454854344,0.7760527348357296,0.11717318820146393,0.16776915372705536,171,102.0185227954766,240,32,9.074899642305292,1.1621134465940075,COMPLETE
27,27,0.2728047740835465,2023-04-07 17:59:12.734655,2023-04-07 17:59:24.443910,0 days 00:00:11.709255,0.29269694179531924,0.7830853606044682,0.11182514247567947,0.28558867855287656,133,11.626053042305202,244,41,8.294131441034313,2.304507712064892,COMPLETE
28,28,0.6192100028417165,2023-04-07 17:59:24.444268,2023-04-07 17:59:30.761218,0 days 00:00:06.316950,0.47228567697438434,0.6715687746627932,0.19924928921683033,0.15882033142271026,121,141.22258984201954,243,37,6.777002560935738,1.2686920519956406,COMPLETE
29,29,0.3657289002557545,2023-04-07 17:59:30.761574,2023-04-07 17:59:35.205092,0 days 00:00:04.443518,0.4193549782918061,0.557731482931364,0.3453671731968401,0.33616178887324366,155,75.82995304653994,275,28,9.321897185805566,5.501685040091976,COMPLETE
