,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
29,29,0.09895833333333333,2023-04-04 04:09:14.938844,2023-04-04 04:09:19.300434,0 days 00:00:04.361590,0.1313352489299936,206,17,49,6.665008657532649,8.722115099283096,4.85152431388251,COMPLETE
30,30,0.5104166666666666,2023-04-04 04:09:19.300760,2023-04-04 04:09:57.708985,0 days 00:00:38.408225,0.01917188544574758,199,13,69,5.836007173803015,8.817664274785214,5.008360825031209,COMPLETE
31,31,0.6510416666666666,2023-04-04 04:09:57.709326,2023-04-04 04:10:02.563236,0 days 00:00:04.853910,0.10804174425850259,193,18,95,7.506404751775614,7.096447942547109,5.415336563388307,COMPLETE
32,32,0.6614583333333334,2023-04-04 04:10:02.563566,2023-04-04 04:10:44.358095,0 days 00:00:41.794529,0.016356485890932318,192,18,99,6.677305022633467,7.298399947805825,5.394703705625609,COMPLETE
33,33,0.0,2023-04-04 04:10:44.358437,2023-04-04 04:10:49.370615,0 days 00:00:05.012178,0.11517413251833866,208,13,35,7.511547968787156,7.250042771703901,5.542772322550288,COMPLETE
34,34,0.6510416666666666,2023-04-04 04:10:49.371112,2023-04-04 04:10:54.684226,0 days 00:00:05.313114,0.09478936546176626,189,22,92,6.756958617727412,7.132250328699592,4.458182784311056,COMPLETE
35,35,0.625,2023-04-04 04:10:54.684560,2023-04-04 04:10:59.467250,0 days 00:00:04.782690,0.12466921079408941,213,10,102,7.4410105160769024,7.873695388852473,3.6516582735803786,COMPLETE
36,36,0.4895833333333333,2023-04-04 04:10:59.467610,2023-04-04 04:12:03.954675,0 days 00:01:04.487065,0.011417039293612924,198,18,71,7.814178473736184,6.13261461268128,6.81727543186635,COMPLETE
37,37,0.2760416666666667,2023-04-04 04:12:03.955013,2023-04-04 04:12:09.229991,0 days 00:00:05.274978,0.09458187103532545,188,26,62,7.1163048442501955,9.746049166737178,5.277776935835661,COMPLETE
38,38,0.5520833333333334,2023-04-04 04:12:09.230488,2023-04-04 04:12:16.725268,0 days 00:00:07.494780,0.07322364369510463,205,22,145,6.516328266723063,7.574139698932381,4.488784418225652,COMPLETE
39,39,0.5989583333333334,2023-04-04 04:12:16.725602,2023-04-04 04:12:18.776467,0 days 00:00:02.050865,0.2604120865677219,190,15,86,6.901531340597405,6.985329566783794,3.9864976406414967,COMPLETE
40,40,0.0,2023-04-04 04:12:18.776816,2023-04-04 04:12:22.046687,0 days 00:00:03.269871,0.15328469027271596,181,13,37,7.494869162156634,7.795289125563245,8.058175820465497,COMPLETE
41,41,0.6666666666666666,2023-04-04 04:12:22.047022,2023-04-04 04:12:28.867107,0 days 00:00:06.820085,0.07314348136802053,187,22,99,6.841681700970848,7.112239607953591,4.678824424821091,COMPLETE
42,42,0.6510416666666666,2023-04-04 04:12:28.867432,2023-04-04 04:12:35.945462,0 days 00:00:07.078030,0.0721610319272981,187,17,106,7.003364369212591,6.84802629950274,4.701207562626911,COMPLETE
43,43,0.6302083333333334,2023-04-04 04:12:35.945787,2023-04-04 04:13:26.777174,0 days 00:00:50.831387,0.013737104852869811,200,26,121,7.644914558953196,7.394403632054845,5.495392677981782,COMPLETE
44,44,0.6354166666666666,2023-04-04 04:13:26.777515,2023-04-04 04:13:34.350124,0 days 00:00:07.572609,0.06317516458700462,180,21,137,7.922738751187625,6.390936990494022,4.980219115936887,COMPLETE
45,45,0.6197916666666666,2023-04-04 04:13:34.350653,2023-04-04 04:13:37.765572,0 days 00:00:03.414919,0.1497072862942827,186,15,94,6.331396579986672,8.17097623113294,5.91830058007596,COMPLETE
46,46,0.6145833333333334,2023-04-04 04:13:37.765911,2023-04-04 04:13:44.890645,0 days 00:00:07.124734,0.07414426563264484,194,18,82,5.7841575157201826,6.990645863310229,6.53167956798137,COMPLETE
47,47,0.515625,2023-04-04 04:13:44.890969,2023-04-04 04:13:47.822410,0 days 00:00:02.931441,0.21311839394078408,250,24,131,6.706466310695546,5.646112768147413,5.411480137434688,COMPLETE
48,48,0.421875,2023-04-04 04:13:47.822748,2023-04-04 04:13:49.629043,0 days 00:00:01.806295,0.31338750285700095,215,16,167,7.359052573435249,6.337936712331373,7.196266377918152,COMPLETE
49,49,0.625,2023-04-04 04:13:49.629371,2023-04-04 04:13:53.706821,0 days 00:00:04.077450,0.13150477838205116,203,22,101,6.878330272381208,7.702085350654789,5.805383468781091,COMPLETE
50,50,0.5677083333333334,2023-04-04 04:13:53.707147,2023-04-04 04:14:05.287686,0 days 00:00:11.580539,0.05678612549264862,233,12,114,7.990737752326467,6.062455271855658,4.168556283111561,COMPLETE
51,51,0.65625,2023-04-04 04:14:05.288046,2023-04-04 04:14:10.603581,0 days 00:00:05.315535,0.09267431918180334,187,23,92,6.65027190046965,7.116199766729997,4.67333048481151,COMPLETE
52,52,0.5572916666666666,2023-04-04 04:14:10.603912,2023-04-04 04:14:21.378049,0 days 00:00:10.774137,0.04628261979665249,184,19,77,6.445477305648875,6.732132733353834,4.9357501193655455,COMPLETE
53,53,0.24479166666666666,2023-04-04 04:14:21.378389,2023-04-04 04:14:26.320355,0 days 00:00:04.941966,0.10507914989674821,197,24,59,6.084936995336422,7.171989126216968,5.398616200083583,COMPLETE
54,54,0.625,2023-04-04 04:14:26.320686,2023-04-04 04:14:29.481407,0 days 00:00:03.160721,0.1588740141609316,190,21,101,7.636047088273445,7.469091971115343,4.6766593185108585,COMPLETE
55,55,0.515625,2023-04-04 04:14:29.481740,2023-04-04 04:14:47.889467,0 days 00:00:18.407727,0.043793908138863705,297,29,132,7.266640649481451,6.670699669447239,3.8290012324304876,COMPLETE
56,56,0.5989583333333334,2023-04-04 04:14:47.889805,2023-04-04 04:14:50.602908,0 days 00:00:02.713103,0.2033172780274102,212,26,117,5.569131499016134,8.005409326441855,4.289214412632214,COMPLETE
57,57,0.4791666666666667,2023-04-04 04:14:50.603236,2023-04-04 04:15:58.935799,0 days 00:01:08.332563,0.010117084476810905,184,18,70,6.744525973323893,5.898242111710163,5.8296531322446565,COMPLETE
58,58,0.515625,2023-04-04 04:15:58.936157,2023-04-04 04:16:04.358095,0 days 00:00:05.421938,0.09208751222787562,195,32,83,6.204610769319941,6.418779528777199,5.105631300146687,COMPLETE
59,59,0.28125,2023-04-04 04:16:04.358596,2023-04-04 04:16:06.072505,0 days 00:00:01.713909,0.3947156430874259,260,16,184,6.529801220293574,5.40966390093818,4.553089357385046,COMPLETE
60,60,0.5364583333333334,2023-04-04 04:16:06.072848,2023-04-04 04:16:09.066789,0 days 00:00:02.993941,0.1678128820482787,192,23,214,6.956199496087869,7.082049394226319,5.331426708694681,COMPLETE
61,61,0.671875,2023-04-04 04:16:09.067127,2023-04-04 04:16:14.896862,0 days 00:00:05.829735,0.08556202972954993,188,22,94,7.223672380464994,7.237987720765952,4.323021370359209,COMPLETE
62,62,0.671875,2023-04-04 04:16:14.897192,2023-04-04 04:16:24.220678,0 days 00:00:09.323486,0.05356170767492896,184,20,98,7.27972770305995,7.553823177834037,3.3626950065361862,COMPLETE
63,63,0.6458333333333334,2023-04-04 04:16:24.221045,2023-04-04 04:16:33.719107,0 days 00:00:09.498062,0.05289501521372119,184,21,121,7.106474873523726,7.622785612918024,3.2816904282654775,COMPLETE
64,64,0.6614583333333334,2023-04-04 04:16:33.719462,2023-04-04 04:16:37.398026,0 days 00:00:03.678564,0.1296361333049162,180,25,109,7.19915735760706,8.171930231648535,4.04486575683193,COMPLETE
65,65,0.6145833333333334,2023-04-04 04:16:37.398393,2023-04-04 04:16:50.061322,0 days 00:00:12.662929,0.03798894592814554,180,25,147,7.759487274062254,8.330427522316157,3.9901951051016273,COMPLETE
66,66,0.65625,2023-04-04 04:16:50.061651,2023-04-04 04:16:54.184442,0 days 00:00:04.122791,0.13447785808723392,202,20,105,7.29204301167574,8.979022690283323,3.5385284235901073,COMPLETE
67,67,0.65625,2023-04-04 04:16:54.184790,2023-04-04 04:17:02.753286,0 days 00:00:08.568496,0.06883106580964111,222,27,110,7.010399249377724,8.000375309040686,4.164306010342594,COMPLETE
68,68,0.625,2023-04-04 04:17:02.753619,2023-04-04 04:17:17.035880,0 days 00:00:14.282261,0.03518578951971511,183,20,127,6.026764367037346,7.509697993841699,3.081523458598067,COMPLETE
69,69,0.53125,2023-04-04 04:17:17.036228,2023-04-04 04:17:19.883417,0 days 00:00:02.847189,0.1793266770854301,188,19,280,7.680112300598498,8.596235672981809,3.5550464112518356,COMPLETE
70,70,0.40625,2023-04-04 04:17:19.883752,2023-04-04 04:17:23.617994,0 days 00:00:03.734242,0.13565151799725422,196,25,74,6.335462485916079,7.82967069601584,3.875552754758678,COMPLETE
71,71,0.625,2023-04-04 04:17:23.618327,2023-04-04 04:17:28.977097,0 days 00:00:05.358770,0.09203485961694899,186,23,85,6.540631930969795,7.246077328083811,4.783342865058658,COMPLETE
72,72,0.671875,2023-04-04 04:17:28.977444,2023-04-04 04:17:33.576487,0 days 00:00:04.599043,0.10738167982275515,190,22,95,7.214875243004507,6.782978067458239,4.350303730317208,COMPLETE
73,73,0.6666666666666666,2023-04-04 04:17:33.576838,2023-04-04 04:18:25.452681,0 days 00:00:51.875843,0.012998066746461034,191,22,99,7.301948585485282,6.81279213356849,4.359354659788671,COMPLETE
74,74,0.6614583333333334,2023-04-04 04:18:25.453017,2023-04-04 04:19:15.564518,0 days 00:00:50.111501,0.01384626295775132,191,17,97,7.4423328880489255,6.737048578689291,4.292509758798875,COMPLETE
75,75,0.3177083333333333,2023-04-04 04:19:15.564866,2023-04-04 04:19:28.854289,0 days 00:00:13.289423,0.04076849517154119,199,21,64,6.8832324742970785,6.547915053662962,4.376829819792284,COMPLETE
76,76,0.06770833333333333,2023-04-04 04:19:28.854860,2023-04-04 04:19:37.100015,0 days 00:00:08.245155,0.07048045041307888,209,14,40,7.2966614969600325,6.226367034662566,5.153828080616694,COMPLETE
77,77,0.6458333333333334,2023-04-04 04:19:37.100530,2023-04-04 04:19:41.552377,0 days 00:00:04.451847,0.11439999183072394,192,19,88,7.671929419308897,6.934069590226275,4.858134492663541,COMPLETE
78,78,0.18229166666666666,2023-04-04 04:19:41.552708,2023-04-04 04:19:57.369082,0 days 00:00:15.816374,0.035389693071252726,204,22,52,6.799659997382136,7.433282335844225,4.460625035470427,COMPLETE
79,79,0.625,2023-04-04 04:19:57.369444,2023-04-04 04:21:00.314411,0 days 00:01:02.944967,0.010776634598090591,183,17,80,7.979687738229554,6.829933396178267,5.16967201231526,COMPLETE
80,80,0.5833333333333334,2023-04-04 04:21:00.314805,2023-04-04 04:21:07.325980,0 days 00:00:07.011175,0.07535820359564992,195,19,139,7.108190186312301,6.537609777238634,5.587068944495631,COMPLETE
81,81,0.6510416666666666,2023-04-04 04:21:07.326511,2023-04-04 04:21:11.183218,0 days 00:00:03.856707,0.12534038032388722,180,21,112,7.208523026909382,7.729805598371933,4.069517514909988,COMPLETE
82,82,0.6875,2023-04-04 04:21:11.183571,2023-04-04 04:21:19.198668,0 days 00:00:08.015097,0.0626512888738227,189,25,105,7.351200815396419,7.308225690844996,3.7230086061985093,COMPLETE
83,83,0.671875,2023-04-04 04:21:19.199049,2023-04-04 04:21:26.936098,0 days 00:00:07.737049,0.06449448166343164,189,24,99,7.496573493930831,7.290361221564935,3.5656696455094536,COMPLETE
84,84,0.6354166666666666,2023-04-04 04:21:26.936458,2023-04-04 04:21:34.927303,0 days 00:00:07.990845,0.060316755242202355,187,28,122,7.489827727802108,7.305266315256318,3.4487313765651697,COMPLETE
85,85,0.6822916666666666,2023-04-04 04:21:34.927648,2023-04-04 04:21:40.893486,0 days 00:00:05.965838,0.08170245171237886,189,27,90,7.777890596102285,6.91204751388379,3.041706170824697,COMPLETE
86,86,0.6614583333333334,2023-04-04 04:21:40.893834,2023-04-04 04:21:47.134224,0 days 00:00:06.240390,0.08267765723293664,198,30,90,7.629853408168211,7.695086996996453,2.7267930936117155,COMPLETE
87,87,0.3020833333333333,2023-04-04 04:21:47.134779,2023-04-04 04:21:51.558541,0 days 00:00:04.423762,0.10695259005606961,189,27,64,7.767142434446623,6.275756094179819,3.7780443915451523,COMPLETE
88,88,0.40625,2023-04-04 04:21:51.558880,2023-04-04 04:21:54.491289,0 days 00:00:02.932409,0.16187658503615543,184,25,74,7.872898112177291,6.987190794212487,3.6689821100850333,COMPLETE
89,89,0.65625,2023-04-04 04:21:54.491629,2023-04-04 04:22:03.703756,0 days 00:00:09.212127,0.05829410022330263,201,24,113,7.520331803004774,7.372597861299105,3.3087807871202655,COMPLETE
90,90,0.6510416666666666,2023-04-04 04:22:03.704108,2023-04-04 04:22:05.953278,0 days 00:00:02.249170,0.21533220882429074,195,27,105,7.079473228811011,5.918357345881017,2.7576390081818856,COMPLETE
91,91,0.6927083333333334,2023-04-04 04:22:05.953644,2023-04-04 04:22:17.710959,0 days 00:00:11.757315,0.042705587613693655,188,23,98,7.39511063429737,6.675796925990581,3.8752664688811835,COMPLETE
92,92,0.6770833333333334,2023-04-04 04:22:17.711341,2023-04-04 04:22:23.218008,0 days 00:00:05.506667,0.08995771042693414,186,23,94,7.4418019822243995,7.1960926806147265,3.8423848570697627,COMPLETE
93,93,0.640625,2023-04-04 04:22:23.218362,2023-04-04 04:22:28.420362,0 days 00:00:05.202000,0.09238536985687906,183,23,87,7.417769928117969,6.592732595776976,3.365529464732076,COMPLETE
94,94,0.6979166666666666,2023-04-04 04:22:28.420707,2023-04-04 04:22:43.194623,0 days 00:00:14.773916,0.033531068832480755,189,29,95,7.834955589795718,7.529878956145896,3.1247240511624037,COMPLETE
95,95,0.484375,2023-04-04 04:22:43.194995,2023-04-04 04:22:55.665942,0 days 00:00:12.470947,0.03946541051405775,189,29,78,7.991611716006097,7.596862314607119,3.1051798149988743,COMPLETE
96,96,0.671875,2023-04-04 04:22:55.666286,2023-04-04 04:23:00.128087,0 days 00:00:04.461801,0.11215323248450425,197,33,93,7.793374547235004,7.825183588354963,3.693072871829778,COMPLETE
97,97,0.3333333333333333,2023-04-04 04:23:00.128438,2023-04-04 04:23:03.714101,0 days 00:00:03.585663,0.13846593903924287,193,26,68,7.588806742523032,7.270499877912932,3.4559561760661417,COMPLETE
98,98,0.6302083333333334,2023-04-04 04:23:03.714450,2023-04-04 04:23:09.115028,0 days 00:00:05.400578,0.08705314080669985,186,31,128,7.380549300289336,6.9575103568997285,3.871107240150563,COMPLETE
99,99,0.6354166666666666,2023-04-04 04:23:09.115406,2023-04-04 04:23:13.213814,0 days 00:00:04.098408,0.14690971138981024,245,37,118,7.816729943120641,6.456904114222352,2.887186932274003,COMPLETE
100,100,0.671875,2023-04-04 04:23:13.214156,2023-04-04 04:23:27.491673,0 days 00:00:14.277517,0.055616997973763405,290,24,95,6.986864265888565,7.529422499171598,3.1914591272038,COMPLETE
101,101,0.65625,2023-04-04 04:23:27.492023,2023-04-04 04:23:31.841759,0 days 00:00:04.349736,0.10918793535504462,189,34,104,7.751557143516112,7.942005981838611,3.752154808755565,COMPLETE
102,102,0.6510416666666666,2023-04-04 04:23:31.842100,2023-04-04 04:23:36.172799,0 days 00:00:04.330699,0.11570474380487261,197,33,91,7.596941819728971,7.885911391578912,3.6615927980296425,COMPLETE
103,103,0.5625,2023-04-04 04:23:36.173168,2023-04-04 04:23:51.667377,0 days 00:00:15.494209,0.0324023142376939,192,30,83,7.787204319552301,6.80735211802188,3.4635898895917245,COMPLETE
104,104,0.640625,2023-04-04 04:23:51.667722,2023-04-04 04:23:54.185423,0 days 00:00:02.517701,0.175683155173262,182,36,96,7.404560394163169,7.156803016377061,3.964515404244109,COMPLETE
105,105,0.6666666666666666,2023-04-04 04:23:54.185766,2023-04-04 04:24:03.180102,0 days 00:00:08.994336,0.0747337218385804,264,39,108,7.210221709105544,7.727419455846622,2.9780996331755216,COMPLETE
106,106,0.65625,2023-04-04 04:24:03.180452,2023-04-04 04:24:07.573621,0 days 00:00:04.393169,0.10932164891238663,186,28,115,7.850997498714412,7.27972743938759,2.423022881876676,COMPLETE
107,107,0.5625,2023-04-04 04:24:07.573958,2023-04-04 04:24:17.594129,0 days 00:00:10.020171,0.0535784265652065,200,23,79,7.166807324380284,7.464579024163439,3.165106853779825,COMPLETE
108,108,0.19270833333333334,2023-04-04 04:24:17.594485,2023-04-04 04:24:33.514335,0 days 00:00:15.919850,0.03150761612783121,194,32,55,7.596971823841382,6.986201810577266,4.091882667003315,COMPLETE
109,109,0.625,2023-04-04 04:24:33.514717,2023-04-04 04:24:39.286328,0 days 00:00:05.771611,0.08426706050401456,190,29,87,7.987415782018074,8.111524614657533,3.6092549857301557,COMPLETE
110,110,0.6614583333333334,2023-04-04 04:24:39.286691,2023-04-04 04:24:42.720860,0 days 00:00:03.434169,0.14674468459524997,197,26,104,7.374171115982347,6.6136250229948095,3.2961276682276486,COMPLETE
111,111,0.6875,2023-04-04 04:24:42.721205,2023-04-04 04:24:55.067585,0 days 00:00:12.346380,0.06485872433094733,294,25,95,6.9151337642720865,7.593447667917169,3.2359967631812,COMPLETE
112,112,0.6770833333333334,2023-04-04 04:24:55.067932,2023-04-04 04:25:08.833153,0 days 00:00:13.765221,0.05609171910819996,282,25,92,6.907074058206815,7.634610978100801,4.230873128474203,COMPLETE
113,113,0.6770833333333334,2023-04-04 04:25:08.833503,2023-04-04 04:25:22.718496,0 days 00:00:13.884993,0.05652265238526347,288,25,99,6.86909951833313,7.521057750372802,4.14263721602287,COMPLETE
114,114,0.609375,2023-04-04 04:25:22.718897,2023-04-04 04:25:39.633325,0 days 00:00:16.914428,0.047312190850178376,292,27,83,6.640814095779842,7.566373067094782,4.562690803315988,COMPLETE
115,115,0.4895833333333333,2023-04-04 04:25:39.633667,2023-04-04 04:26:12.660104,0 days 00:00:33.026437,0.029390585464859675,283,25,72,6.855859645019621,8.335521803091378,4.167069860605236,COMPLETE
