,number,value,datetime_start,datetime_complete,duration,params_max_bpm,params_min_bpm,params_time_window,state
44,44,0.16588519465757315,2023-04-07 04:36:16.975686,2023-04-07 04:37:09.421275,0 days 00:00:52.445589,271,26,4,COMPLETE
45,45,0.08788007956805911,2023-04-07 04:37:09.421566,2023-04-07 04:38:05.260117,0 days 00:00:55.838551,234,17,6,COMPLETE
46,46,0.21462063086104008,2023-04-07 04:38:05.260386,2023-04-07 04:38:57.277732,0 days 00:00:52.017346,276,21,5,COMPLETE
47,47,0.12674055129298098,2023-04-07 04:38:57.278138,2023-04-07 04:39:54.012788,0 days 00:00:56.734650,266,25,2,COMPLETE
48,48,0.11693662972435352,2023-04-07 04:39:54.013065,2023-04-07 04:40:49.009388,0 days 00:00:54.996323,295,17,4,COMPLETE
49,49,0.20012787723785164,2023-04-07 04:40:49.009664,2023-04-07 04:41:43.066355,0 days 00:00:54.056691,280,33,8,COMPLETE
50,50,0.11231884057971014,2023-04-07 04:41:43.066669,2023-04-07 04:42:40.131287,0 days 00:00:57.064618,248,29,3,COMPLETE
51,51,0.20453253765274226,2023-04-07 04:42:40.131550,2023-04-07 04:43:36.942809,0 days 00:00:56.811259,276,20,5,COMPLETE
52,52,0.19018186984938903,2023-04-07 04:43:36.943099,2023-04-07 04:44:32.763285,0 days 00:00:55.820186,258,22,5,COMPLETE
53,53,0.19515487354362035,2023-04-07 04:44:32.763713,2023-04-07 04:45:28.975851,0 days 00:00:56.212138,286,24,6,COMPLETE
54,54,0.19977266268826374,2023-04-07 04:45:28.976145,2023-04-07 04:46:20.538032,0 days 00:00:51.561887,276,26,4,COMPLETE
55,55,0.19991474850809887,2023-04-07 04:46:20.538317,2023-04-07 04:47:13.665612,0 days 00:00:53.127295,265,18,10,COMPLETE
56,56,0.17050298380221654,2023-04-07 04:47:13.665888,2023-04-07 04:48:04.923330,0 days 00:00:51.257442,290,30,7,COMPLETE
57,57,0.21938050582551863,2023-04-07 04:48:04.923600,2023-04-07 04:49:01.350013,0 days 00:00:56.426413,282,20,5,COMPLETE
58,58,0.20474566638249503,2023-04-07 04:49:01.350288,2023-04-07 04:49:56.833336,0 days 00:00:55.483048,300,43,6,COMPLETE
59,59,0.20446149474282468,2023-04-07 04:49:56.833768,2023-04-07 04:50:53.453756,0 days 00:00:56.619988,282,23,5,COMPLETE
60,60,0.16091219096334186,2023-04-07 04:50:53.454029,2023-04-07 04:51:48.488664,0 days 00:00:55.034635,267,13,7,COMPLETE
61,61,0.21462063086104008,2023-04-07 04:51:48.488962,2023-04-07 04:52:43.957953,0 days 00:00:55.468991,272,20,5,COMPLETE
62,62,0.20964762716680874,2023-04-07 04:52:43.958228,2023-04-07 04:53:40.917142,0 days 00:00:56.958914,278,22,4,COMPLETE
63,63,0.16552998010798523,2023-04-07 04:53:40.917423,2023-04-07 04:54:36.438137,0 days 00:00:55.520714,292,20,6,COMPLETE
64,64,0.17533390167661267,2023-04-07 04:54:36.438415,2023-04-07 04:55:27.636101,0 days 00:00:51.197686,287,27,5,COMPLETE
65,65,0.2093634555271384,2023-04-07 04:55:27.636516,2023-04-07 04:56:24.556525,0 days 00:00:56.920009,283,25,5,COMPLETE
66,66,0.16588519465757315,2023-04-07 04:56:24.556798,2023-04-07 04:57:16.344179,0 days 00:00:51.787381,263,18,4,COMPLETE
67,67,0.19025291275930664,2023-04-07 04:57:16.344452,2023-04-07 04:58:11.099109,0 days 00:00:54.754657,273,21,6,COMPLETE
68,68,0.20446149474282468,2023-04-07 04:58:11.099388,2023-04-07 04:59:07.365645,0 days 00:00:56.266257,282,23,5,COMPLETE
69,69,0.15096618357487923,2023-04-07 04:59:07.365919,2023-04-07 04:59:59.219085,0 days 00:00:51.853166,297,27,4,COMPLETE
70,70,0.10265700483091789,2023-04-07 04:59:59.219364,2023-04-07 05:00:54.391654,0 days 00:00:55.172290,223,29,5,COMPLETE
71,71,0.19494174481386758,2023-04-07 05:00:54.392088,2023-04-07 05:01:50.466356,0 days 00:00:56.074268,273,19,5,COMPLETE
72,72,0.19984370559818132,2023-04-07 05:01:50.466673,2023-04-07 05:02:45.854704,0 days 00:00:55.388031,268,21,5,COMPLETE
73,73,0.16084114805342428,2023-04-07 05:02:45.855001,2023-04-07 05:03:40.915292,0 days 00:00:55.060291,261,20,6,COMPLETE
74,74,0.21469167377095766,2023-04-07 05:03:40.915572,2023-04-07 05:04:38.086832,0 days 00:00:57.171260,277,25,4,COMPLETE
