,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
32,32,0.09263995453253765,2023-04-07 20:24:59.776418,2023-04-07 20:25:56.106888,0 days 00:00:56.330470,0.29996362689629974,0.5864605959917233,0.7355454786284447,291,18,4,COMPLETE
33,33,0.11224779766979255,2023-04-07 20:25:56.107176,2023-04-07 20:26:51.948076,0 days 00:00:55.840900,0.39533475475104213,0.6691247456532483,0.8105674032072745,281,14,4,COMPLETE
34,34,0.04383347541915317,2023-04-07 20:26:51.948378,2023-04-07 20:27:48.841354,0 days 00:00:56.892976,0.5002018324311489,0.5528865438974282,0.70951483267439,296,13,3,COMPLETE
35,35,0.16077010514350668,2023-04-07 20:27:48.841670,2023-04-07 20:28:45.367115,0 days 00:00:56.525445,0.3570233076637849,0.6396227442106159,0.9182731516816826,270,19,3,COMPLETE
36,36,0.1367576015913612,2023-04-07 20:28:45.367419,2023-04-07 20:29:41.717202,0 days 00:00:56.349783,0.2747520226623629,0.7577646849526665,0.7793164195425988,281,45,5,COMPLETE
37,37,0.08312020460358056,2023-04-07 20:29:41.717649,2023-04-07 20:30:34.697119,0 days 00:00:52.979470,0.46725713293771726,0.6916148025422184,0.9898173722032043,260,30,4,COMPLETE
38,38,0.04376243250923558,2023-04-07 20:30:34.697433,2023-04-07 20:31:27.153320,0 days 00:00:52.455887,0.3323138142116979,0.7730542791058227,0.6692904119414423,242,27,5,COMPLETE
39,39,0.11210571184995738,2023-04-07 20:31:27.153631,2023-04-07 20:32:18.897740,0 days 00:00:51.744109,0.23590017910399674,0.526123999548758,0.7526019264452484,293,23,2,COMPLETE
40,40,0.0341716396703609,2023-04-07 20:32:18.898055,2023-04-07 20:33:15.427745,0 days 00:00:56.529690,0.050267253876009915,0.618070859532522,0.5121388339310868,300,16,5,COMPLETE
41,41,0.1947996589940324,2023-04-07 20:33:15.428039,2023-04-07 20:34:11.330153,0 days 00:00:55.902114,0.13351218907415596,0.8549582940505579,0.5789445017529294,277,21,6,COMPLETE
42,42,0.17547598749644785,2023-04-07 20:34:11.330450,2023-04-07 20:35:07.932409,0 days 00:00:56.601959,0.129696655526564,0.949053338740948,0.6397164585515706,284,25,4,COMPLETE
43,43,0.15082409775504405,2023-04-07 20:35:07.932853,2023-04-07 20:36:04.380881,0 days 00:00:56.448028,0.04404989910976842,0.9431782128737826,0.583781561990348,268,22,6,COMPLETE
44,44,0.16581415174765557,2023-04-07 20:36:04.381172,2023-04-07 20:36:59.382857,0 days 00:00:55.001685,0.13252757098642562,0.8524788777302046,0.6872172232261033,277,18,6,COMPLETE
45,45,0.16588519465757315,2023-04-07 20:36:59.383163,2023-04-07 20:37:51.291017,0 days 00:00:51.907854,0.21715120105407318,0.8719017549835092,0.6346417590438648,256,16,2,COMPLETE
46,46,0.05356635407786303,2023-04-07 20:37:51.291317,2023-04-07 20:38:44.399875,0 days 00:00:53.108558,0.15062175729927807,0.9536104881590354,0.4946602581797379,235,20,4,COMPLETE
47,47,0.07800511508951408,2023-04-07 20:38:44.400174,2023-04-07 20:39:35.101533,0 days 00:00:50.701359,0.18142291922476136,0.736122663801348,0.7120968251238629,199,29,3,COMPLETE
48,48,0.11217675475987497,2023-04-07 20:39:35.101843,2023-04-07 20:40:29.538583,0 days 00:00:54.436740,0.2775711546008124,0.6116301432335446,0.42526894953978456,285,13,1,COMPLETE
49,49,0.17540494458653025,2023-04-07 20:40:29.539019,2023-04-07 20:41:26.142303,0 days 00:00:56.603284,0.05724898421187211,0.9566580349681595,0.6105690498472087,277,15,5,COMPLETE
50,50,0.09278204035237285,2023-04-07 20:41:26.142667,2023-04-07 20:42:21.261651,0 days 00:00:55.118984,0.3101836784283514,0.47997104136103175,0.7809267860733287,248,26,7,COMPLETE
51,51,0.16552998010798523,2023-04-07 20:42:21.261949,2023-04-07 20:43:16.538563,0 days 00:00:55.276614,0.21193356669075236,0.8260601630678139,0.5611749029975509,275,21,7,COMPLETE
52,52,0.16077010514350668,2023-04-07 20:43:16.538859,2023-04-07 20:44:12.317464,0 days 00:00:55.778605,0.12441713086563802,0.9022755283966433,0.5870391700265238,281,18,7,COMPLETE
53,53,0.1560812730889457,2023-04-07 20:44:12.317758,2023-04-07 20:45:06.683465,0 days 00:00:54.365707,0.16816961689473164,0.832685050392738,0.6676273670278923,262,20,10,COMPLETE
54,54,0.1606990622335891,2023-04-07 20:45:06.683785,2023-04-07 20:46:01.957304,0 days 00:00:55.273519,0.253373325647003,0.6794582156248069,0.6378805336229981,288,22,8,COMPLETE
55,55,0.17540494458653025,2023-04-07 20:46:01.957745,2023-04-07 20:46:54.268294,0 days 00:00:52.310549,0.2168313105147237,0.9996703287625954,0.6865169977844174,270,15,6,COMPLETE
56,56,0.16588519465757315,2023-04-07 20:46:54.268590,2023-04-07 20:47:48.902855,0 days 00:00:54.634265,0.11449577572993413,0.8840476548655379,0.5266109608387797,278,34,9,COMPLETE
57,57,0.06820119352088662,2023-04-07 20:47:48.903150,2023-04-07 20:48:44.471302,0 days 00:00:55.568152,0.1704061529585465,0.7852513489301398,0.5894354476095054,217,11,5,COMPLETE
58,58,0.05363739698778062,2023-04-07 20:48:44.471611,2023-04-07 20:49:40.467071,0 days 00:00:55.995460,0.03295397654036161,0.7139693245167545,0.7460517167136187,295,17,6,COMPLETE
59,59,0.180306905370844,2023-04-07 20:49:40.467395,2023-04-07 20:50:35.442057,0 days 00:00:54.974662,0.08357323763088681,0.921212731423998,0.6180670101529234,266,19,7,COMPLETE
60,60,0.14592213697073034,2023-04-07 20:50:35.442365,2023-04-07 20:51:31.924468,0 days 00:00:56.482103,0.07792792478010889,0.9237712322321602,0.6531684541311793,265,19,4,COMPLETE
61,61,0.1656010230179028,2023-04-07 20:51:31.924946,2023-04-07 20:52:27.520213,0 days 00:00:55.595267,0.0957649953673688,0.9641796653298382,0.5505269688704176,273,22,7,COMPLETE
62,62,0.15586814435919294,2023-04-07 20:52:27.520517,2023-04-07 20:53:22.404811,0 days 00:00:54.884294,0.008981872911702021,0.884601019637073,0.6173493441357825,282,24,8,COMPLETE
63,63,0.12176754759874964,2023-04-07 20:53:22.405118,2023-04-07 20:54:18.246221,0 days 00:00:55.841103,0.19794967635386596,0.8462628463604327,0.5653710702461311,287,20,6,COMPLETE
64,64,0.16552998010798523,2023-04-07 20:54:18.246531,2023-04-07 20:55:08.271457,0 days 00:00:50.024926,0.13496733190430454,0.9226519882949884,0.7128517002433645,266,16,9,COMPLETE
65,65,0.136615515771526,2023-04-07 20:55:08.271760,2023-04-07 20:56:03.658098,0 days 00:00:55.386338,0.05858897079382941,0.8161870903586385,0.6922745599678992,253,14,7,COMPLETE
66,66,0.1656010230179028,2023-04-07 20:56:03.658405,2023-04-07 20:56:58.231125,0 days 00:00:54.572720,0.10368728248552889,0.9855507160743726,0.6142748929091497,270,18,8,COMPLETE
67,67,0.180306905370844,2023-04-07 20:56:58.231596,2023-04-07 20:57:55.303647,0 days 00:00:57.072051,0.15724961560587863,0.8699376383544545,0.6496864308525854,276,17,3,COMPLETE
68,68,0.07331628303495312,2023-04-07 20:57:55.303974,2023-04-07 20:58:51.640779,0 days 00:00:56.336805,0.15191551563747055,0.8754609565187753,0.7355781500003202,290,13,3,COMPLETE
69,69,0.14137539073600455,2023-04-07 20:58:51.641083,2023-04-07 20:59:48.006915,0 days 00:00:56.365832,0.07676087505649642,0.7528151184649144,0.6574461635376828,261,17,3,COMPLETE
70,70,0.17533390167661267,2023-04-07 20:59:48.007245,2023-04-07 21:00:45.335089,0 days 00:00:57.327844,0.2366550991542158,0.9718071332708257,0.7838420123328693,273,11,2,COMPLETE
71,71,0.17057402671213415,2023-04-07 21:00:45.335402,2023-04-07 21:01:39.489369,0 days 00:00:54.153967,0.16464836295717072,0.9269118615010535,0.5793441651935388,278,19,10,COMPLETE
72,72,0.1752628587666951,2023-04-07 21:01:39.489673,2023-04-07 21:02:35.011307,0 days 00:00:55.521634,0.19856552574350625,0.776648766995542,0.6321900444760165,275,21,7,COMPLETE
73,73,0.13171355498721227,2023-04-07 21:02:35.011765,2023-04-07 21:03:31.917312,0 days 00:00:56.905547,0.10028232092922694,0.9041980811549786,0.5306031172197678,283,19,5,COMPLETE
74,74,0.15075305484512647,2023-04-07 21:03:31.917620,2023-04-07 21:04:27.832334,0 days 00:00:55.914714,0.27332961644572995,0.804876304727168,0.6828412450374451,269,15,6,COMPLETE
75,75,0.1170787155441887,2023-04-07 21:04:27.832657,2023-04-07 21:05:24.256850,0 days 00:00:56.424193,0.1297163006769449,0.6565335351787553,0.6118593388715614,256,23,4,COMPLETE
76,76,0.16567206592782044,2023-04-07 21:05:24.257171,2023-04-07 21:06:19.950338,0 days 00:00:55.693167,0.03319748411980074,0.8531164328329609,0.7039048149346679,280,17,7,COMPLETE
77,77,0.09782608695652173,2023-04-07 21:06:19.950690,2023-04-07 21:07:16.590170,0 days 00:00:56.639480,0.22968219249092997,0.9380858041149385,0.6592189051173717,264,32,3,COMPLETE
78,78,0.11231884057971014,2023-04-07 21:07:16.590487,2023-04-07 21:08:11.457145,0 days 00:00:54.866658,0.17905641688459334,0.9719323441099417,0.7248645193425357,285,21,8,COMPLETE
79,79,0.08297811878374539,2023-04-07 21:08:11.457594,2023-04-07 21:09:07.057337,0 days 00:00:55.599743,0.14526837457618957,0.7067323941921586,0.5638325244824235,182,16,4,COMPLETE
80,80,0.13157146916737708,2023-04-07 21:09:07.057640,2023-04-07 21:10:01.679280,0 days 00:00:54.621640,0.2549159941306527,0.899032704682927,0.49914949982825274,276,39,8,COMPLETE
